Ion Concentrations vs Distance Data
Surface potential: -200 mV
""
z (Å),[Cl-] at c=0.01 M (M),[Na+] at c=0.01 M (M),[Cl-] at c=0.014 M (M),[Na+] at c=0.014 M (M),[Cl-] at c=0.02 M (M),[Na+] at c=0.02 M (M),[Cl-] at c=0.028 M (M),[Na+] at c=0.028 M (M),[Cl-] at c=0.04 M (M),[Na+] at c=0.04 M (M),[Cl-] at c=0.056 M (M),[Na+] at c=0.056 M (M),[Cl-] at c=0.079 M (M),[Na+] at c=0.079 M (M),[Cl-] at c=0.11 M (M),[Na+] at c=0.11 M (M),[Cl-] at c=0.16 M (M),[Na+] at c=0.16 M (M),[Cl-] at c=0.22 M (M),[Na+] at c=0.22 M (M),[Cl-] at c=0.32 M (M),[Na+] at c=0.32 M (M),[Cl-] at c=0.45 M (M),[Na+] at c=0.45 M (M),[Cl-] at c=0.63 M (M),[Na+] at c=0.63 M (M),[Cl-] at c=0.89 M (M),[Na+] at c=0.89 M (M),[Cl-] at c=1.3 M (M),[Na+] at c=1.3 M (M),[Cl-] at c=1.8 M (M),[Na+] at c=1.8 M (M),[Cl-] at c=2.5 M (M),[Na+] at c=2.5 M (M),[Cl-] at c=3.5 M (M),[Na+] at c=3.5 M (M)
7.912,1.310309e-04,5.601273e-01,2.472326e-04,6.048434e-01,4.697410e-04,6.497017e-01,8.975042e-04,6.949826e-01,1.721674e-03,7.412118e-01,3.309782e-03,7.892389e-01,6.362750e-03,8.403584e-01,1.220092e-02,8.964919e-01,2.326850e-02,9.604619e-01,4.398436e-02,1.036399e+00,8.209115e-02,1.130353e+00,1.506171e-01,1.251209e+00,2.703909e-01,1.412086e+00,4.726995e-01,1.632454e+00,8.013002e-01,1.941338e+00,1.313125e+00,2.382027e+00,2.078353e+00,3.018723e+00,3.182898e+00,3.945386e+00
8.009,1.346556e-04,5.482320e-01,2.542622e-04,5.915308e-01,4.834045e-04,6.349507e-01,9.240769e-04,6.787826e-01,1.773275e-03,7.235608e-01,3.409582e-03,7.701428e-01,6.554388e-03,8.198300e-01,1.256485e-02,8.745523e-01,2.394869e-02,9.371421e-01,4.522801e-02,1.011745e+00,8.429914e-02,1.104434e+00,1.543889e-01,1.224136e+00,2.765228e-01,1.384034e+00,4.820665e-01,1.603712e+00,8.145570e-01,1.912369e+00,1.330255e+00,2.353542e+00,2.098277e+00,2.991734e+00,3.203483e+00,3.921169e+00
8.107,1.383308e-04,5.366993e-01,2.613913e-04,5.786415e-01,4.972624e-04,6.206869e-01,9.510250e-04,6.631363e-01,1.825589e-03,7.065325e-01,3.510703e-03,7.517399e-01,6.748388e-03,8.000674e-01,1.293278e-02,8.534524e-01,2.463509e-02,9.147374e-01,4.647988e-02,9.880831e-01,8.651431e-02,1.079586e+00,1.581565e-01,1.198212e+00,2.826139e-01,1.357214e+00,4.913066e-01,1.576284e+00,8.275248e-01,1.884795e+00,1.346848e+00,2.326527e+00,2.117361e+00,2.966266e+00,3.222957e+00,3.898475e+00
8.204,1.420563e-04,5.255152e-01,2.686195e-04,5.661583e-01,5.113140e-04,6.068898e-01,9.783469e-04,6.480197e-01,1.878612e-03,6.900987e-01,3.613134e-03,7.339983e-01,6.944718e-03,7.810341e-01,1.330463e-02,8.331512e-01,2.532751e-02,8.932021e-01,4.773954e-02,9.653623e-01,8.873576e-02,1.055752e+00,1.619183e-01,1.173378e+00,2.886614e-01,1.331559e+00,5.004170e-01,1.550098e+00,8.402034e-01,1.858538e+00,1.362911e+00,2.300894e+00,2.135632e+00,2.942225e+00,3.241372e+00,3.877203e+00
8.302,1.458321e-04,5.146665e-01,2.759468e-04,5.540652e-01,5.255587e-04,5.935400e-01,1.006041e-03,6.334098e-01,1.932338e-03,6.742329e-01,3.716860e-03,7.168875e-01,7.143347e-03,7.626958e-01,1.368032e-02,8.136103e-01,2.602575e-02,8.724935e-01,4.900655e-02,9.435356e-01,9.096258e-02,1.032881e+00,1.656725e-01,1.149576e+00,2.946629e-01,1.307006e+00,5.093951e-01,1.525086e+00,8.525935e-01,1.833523e+00,1.378457e+00,2.276564e+00,2.153119e+00,2.919524e+00,3.258783e+00,3.857260e+00
8.399,1.496581e-04,5.041404e-01,2.833728e-04,5.423466e-01,5.399959e-04,5.806190e-01,1.034105e-03,6.192851e-01,1.986763e-03,6.589101e-01,3.821871e-03,7.003790e-01,7.344242e-03,7.450201e-01,1.405978e-02,7.947933e-01,2.672964e-02,8.525710e-01,5.028049e-02,9.225582e-01,9.319390e-02,1.010923e+00,1.694175e-01,1.126752e+00,3.006160e-01,1.283498e+00,5.182387e-01,1.501184e+00,8.646958e-01,1.809683e+00,1.393493e+00,2.253463e+00,2.169850e+00,2.898082e+00,3.275240e+00,3.838558e+00
8.496,1.535343e-04,4.939248e-01,2.908974e-04,5.309877e-01,5.546251e-04,5.681093e-01,1.062538e-03,6.056248e-01,2.041883e-03,6.441066e-01,3.928153e-03,6.844455e-01,7.547370e-03,7.279763e-01,1.444291e-02,7.766661e-01,2.743898e-02,8.333968e-01,5.156092e-02,9.023884e-01,9.542886e-02,9.898331e-01,1.731518e-01,1.104857e+00,3.065184e-01,1.260980e+00,5.269458e-01,1.478333e+00,8.765118e-01,1.786952e+00,1.408033e+00,2.231520e+00,2.185851e+00,2.877823e+00,3.290791e+00,3.821017e+00
8.594,1.574605e-04,4.840080e-01,2.985204e-04,5.199746e-01,5.694455e-04,5.559941e-01,1.091337e-03,5.924095e-01,2.097692e-03,6.297997e-01,4.035694e-03,6.690616e-01,7.752699e-03,7.115357e-01,1.482964e-02,7.591963e-01,2.815357e-02,8.149351e-01,5.284744e-02,8.829866e-01,9.766660e-02,9.695672e-01,1.768740e-01,1.083843e+00,3.123681e-01,1.239400e+00,5.355146e-01,1.456478e+00,8.880434e-01,1.765270e+00,1.422086e+00,2.210670e+00,2.201149e+00,2.858676e+00,3.305482e+00,3.804561e+00
8.691,1.614368e-04,4.743791e-01,3.062415e-04,5.092939e-01,5.844567e-04,5.442576e-01,1.120502e-03,5.796208e-01,2.154185e-03,6.159683e-01,4.144480e-03,6.542029e-01,7.960196e-03,6.956709e-01,1.521990e-02,7.423535e-01,2.887324e-02,7.971521e-01,5.413963e-02,8.643159e-01,9.990630e-02,9.500850e-01,1.805825e-01,1.063665e+00,3.181631e-01,1.218711e+00,5.439439e-01,1.435566e+00,8.992926e-01,1.744582e+00,1.435663e+00,2.190852e+00,2.215772e+00,2.840576e+00,3.319358e+00,3.789121e+00
8.789,1.654631e-04,4.650273e-01,3.140606e-04,4.989326e-01,5.996578e-04,5.328847e-01,1.150030e-03,5.672408e-01,2.211359e-03,6.025920e-01,4.254500e-03,6.398464e-01,8.169828e-03,6.803561e-01,1.561359e-02,7.261090e-01,2.959779e-02,7.800161e-01,5.543708e-02,8.463412e-01,1.021472e-01,9.313484e-01,1.842760e-01,1.044284e+00,3.239015e-01,1.198867e+00,5.522324e-01,1.415548e+00,9.102621e-01,1.724834e+00,1.448776e+00,2.172010e+00,2.229744e+00,2.823462e+00,3.332461e+00,3.774630e+00
8.886,1.695392e-04,4.559426e-01,3.219773e-04,4.888788e-01,6.150482e-04,5.218609e-01,1.179919e-03,5.552530e-01,2.269207e-03,5.896518e-01,4.365739e-03,6.259705e-01,8.381562e-03,6.655669e-01,1.601064e-02,7.104357e-01,3.032703e-02,7.634971e-01,5.673940e-02,8.290296e-01,1.043884e-01,9.133214e-01,1.879532e-01,1.025658e+00,3.295816e-01,1.179827e+00,5.603792e-01,1.396380e+00,9.209546e-01,1.705976e+00,1.461437e+00,2.154089e+00,2.243091e+00,2.807275e+00,3.344833e+00,3.761029e+00
8.984,1.736650e-04,4.471153e-01,3.299915e-04,4.791206e-01,6.306274e-04,5.111726e-01,1.210168e-03,5.436414e-01,2.327724e-03,5.771293e-01,4.478185e-03,6.125546e-01,8.595365e-03,6.512803e-01,1.641097e-02,6.953077e-01,3.106079e-02,7.475667e-01,5.804617e-02,8.123502e-01,1.066292e-01,8.959701e-01,1.916127e-01,1.007752e+00,3.352019e-01,1.161549e+00,5.683835e-01,1.378018e+00,9.313733e-01,1.687964e+00,1.473658e+00,2.137039e+00,2.255838e+00,2.791962e+00,3.356511e+00,3.748261e+00
9.081,1.778406e-04,4.385360e-01,3.381029e-04,4.696471e-01,6.463945e-04,5.008067e-01,1.240775e-03,5.323909e-01,2.386907e-03,5.650073e-01,4.591825e-03,5.995790e-01,8.811205e-03,6.374743e-01,1.681449e-02,6.807010e-01,3.179888e-02,7.321982e-01,5.935701e-02,7.962735e-01,1.088689e-01,8.792626e-01,1.952534e-01,9.905314e-01,3.407609e-01,1.143998e+00,5.762450e-01,1.360421e+00,9.415215e-01,1.670752e+00,1.485449e+00,2.120814e+00,2.268009e+00,2.777473e+00,3.367534e+00,3.736272e+00
9.179,1.820659e-04,4.301959e-01,3.463113e-04,4.604476e-01,6.623490e-04,4.907507e-01,1.271737e-03,5.214871e-01,2.446749e-03,5.532693e-01,4.706645e-03,5.870252e-01,9.029046e-03,6.241282e-01,1.722113e-02,6.665924e-01,3.254110e-02,7.173663e-01,6.067153e-02,7.807719e-01,1.111066e-01,8.631689e-01,1.988741e-01,9.739629e-01,3.462573e-01,1.127137e+00,5.839632e-01,1.343552e+00,9.514030e-01,1.654300e+00,1.496822e+00,2.105370e+00,2.279627e+00,2.763760e+00,3.377935e+00,3.725014e+00
9.276,1.863406e-04,4.220865e-01,3.546164e-04,4.515120e-01,6.784901e-04,4.809928e-01,1.303053e-03,5.109163e-01,2.507245e-03,5.418997e-01,4.822633e-03,5.748756e-01,9.248858e-03,6.112223e-01,1.763082e-02,6.529603e-01,3.328730e-02,7.030472e-01,6.198936e-02,7.658194e-01,1.133418e-01,8.476605e-01,2.024736e-01,9.580159e-01,3.516897e-01,1.110934e+00,5.915382e-01,1.327375e+00,9.610214e-01,1.638569e+00,1.507790e+00,2.090665e+00,2.290715e+00,2.750780e+00,3.387749e+00,3.714441e+00
9.374,1.906648e-04,4.141997e-01,3.630180e-04,4.428306e-01,6.948171e-04,4.715216e-01,1.334722e-03,5.006654e-01,2.568391e-03,5.308837e-01,4.939774e-03,5.631136e-01,9.470605e-03,5.987381e-01,1.804345e-02,6.397840e-01,3.403727e-02,6.892181e-01,6.331010e-02,7.513911e-01,1.155736e-01,8.327106e-01,2.060509e-01,9.426616e-01,3.570572e-01,1.095357e+00,5.989701e-01,1.311857e+00,9.703807e-01,1.623524e+00,1.518364e+00,2.076660e+00,2.301294e+00,2.738490e+00,3.397007e+00,3.704510e+00
9.471,1.950384e-04,4.065276e-01,3.715159e-04,4.343941e-01,7.113293e-04,4.623263e-01,1.366740e-03,4.907219e-01,2.630181e-03,5.202072e-01,5.058055e-03,5.517232e-01,9.694255e-03,5.866578e-01,1.845897e-02,6.270441e-01,3.479085e-02,6.758577e-01,6.463341e-02,7.374639e-01,1.178015e-01,8.182939e-01,2.096050e-01,9.278725e-01,3.623586e-01,1.080377e+00,6.062590e-01,1.296964e+00,9.794852e-01,1.609130e+00,1.528554e+00,2.063319e+00,2.311386e+00,2.726852e+00,3.405739e+00,3.695181e+00
9.569,1.994613e-04,3.990628e-01,3.801097e-04,4.261936e-01,7.280261e-04,4.533966e-01,1.399106e-03,4.810741e-01,2.692610e-03,5.098566e-01,5.177464e-03,5.406894e-01,9.919775e-03,5.749648e-01,1.887729e-02,6.147220e-01,3.554786e-02,6.629456e-01,6.595890e-02,7.240155e-01,1.200247e-01,8.043864e-01,2.131349e-01,9.136229e-01,3.675931e-01,1.065966e+00,6.134054e-01,1.282669e+00,9.883391e-01,1.595356e+00,1.538374e+00,2.050608e+00,2.321012e+00,2.715830e+00,3.413975e+00,3.686416e+00
9.666,2.039334e-04,3.917981e-01,3.887993e-04,4.182208e-01,7.449065e-04,4.447226e-01,1.431818e-03,4.717106e-01,2.755673e-03,4.998193e-01,5.297986e-03,5.299977e-01,1.014713e-02,5.636429e-01,1.929833e-02,6.028001e-01,3.630812e-02,6.504628e-01,6.728623e-02,7.110251e-01,1.222426e-01,7.909656e-01,2.166396e-01,8.998882e-01,3.727599e-01,1.052098e+00,6.204100e-01,1.268942e+00,9.969469e-01,1.582170e+00,1.547833e+00,2.038493e+00,2.330191e+00,2.705389e+00,3.421742e+00,3.678180e+00
9.764,2.084546e-04,3.847267e-01,3.975843e-04,4.104674e-01,7.619700e-04,4.362950e-01,1.464874e-03,4.626207e-01,2.819364e-03,4.900829e-01,5.419609e-03,5.196346e-01,1.037629e-02,5.526772e-01,1.972201e-02,5.912618e-01,3.707145e-02,6.383909e-01,6.861504e-02,6.984728e-01,1.244546e-01,7.780099e-01,2.201183e-01,8.866455e-01,3.778582e-01,1.038747e+00,6.272734e-01,1.255757e+00,1.005313e+00,1.569545e+00,1.556943e+00,2.026945e+00,2.338943e+00,2.695497e+00,3.429066e+00,3.670441e+00
9.861,2.130248e-04,3.778419e-01,4.064645e-04,4.029258e-01,7.792158e-04,4.281047e-01,1.498273e-03,4.537941e-01,2.883678e-03,4.806359e-01,5.542317e-03,5.095870e-01,1.060722e-02,5.420531e-01,2.014825e-02,5.800912e-01,3.783770e-02,6.267126e-01,6.994499e-02,6.863399e-01,1.266601e-01,7.654992e-01,2.235701e-01,8.738730e-01,3.828874e-01,1.025892e+00,6.339965e-01,1.243089e+00,1.013442e+00,1.557453e+00,1.565715e+00,2.015934e+00,2.347286e+00,2.686124e+00,3.435971e+00,3.663168e+00
9.959,2.176439e-04,3.711375e-01,4.154396e-04,3.955886e-01,7.966431e-04,4.201432e-01,1.532011e-03,4.452209e-01,2.948610e-03,4.714672e-01,5.666099e-03,4.998426e-01,1.083988e-02,5.317571e-01,2.057698e-02,5.692734e-01,3.860667e-02,6.154116e-01,7.127573e-02,6.746086e-01,1.288585e-01,7.534142e-01,2.269943e-01,8.615499e-01,3.878470e-01,1.013509e+00,6.405803e-01,1.230914e+00,1.021339e+00,1.545870e+00,1.574160e+00,2.005434e+00,2.355238e+00,2.677242e+00,3.442480e+00,3.656332e+00
10.056,2.223118e-04,3.646073e-01,4.245094e-04,3.884485e-01,8.142512e-04,4.124021e-01,1.566087e-03,4.368917e-01,3.014155e-03,4.625663e-01,5.790940e-03,4.903897e-01,1.107425e-02,5.217761e-01,2.100812e-02,5.587940e-01,3.937822e-02,6.044723e-01,7.260694e-02,6.632621e-01,1.310492e-01,7.417366e-01,2.303901e-01,8.496567e-01,3.927366e-01,1.001577e+00,6.470259e-01,1.219210e+00,1.029008e+00,1.534771e+00,1.582288e+00,1.995419e+00,2.362816e+00,2.668822e+00,3.448616e+00,3.649907e+00
10.154,2.270285e-04,3.582457e-01,4.336735e-04,3.814988e-01,8.320393e-04,4.048738e-01,1.600499e-03,4.287977e-01,3.080306e-03,4.539230e-01,5.916826e-03,4.812169e-01,1.131028e-02,5.120976e-01,2.144159e-02,5.486394e-01,4.015216e-02,5.938799e-01,7.393828e-02,6.522842e-01,1.332317e-01,7.304493e-01,2.337568e-01,8.381750e-01,3.975557e-01,9.900767e-01,6.533344e-01,1.207956e+00,1.036454e+00,1.524133e+00,1.590110e+00,1.985865e+00,2.370038e+00,2.660842e+00,3.454400e+00,3.643866e+00
10.251,2.317937e-04,3.520470e-01,4.429317e-04,3.747329e-01,8.500065e-04,3.975505e-01,1.635245e-03,4.209303e-01,3.147059e-03,4.455278e-01,6.043744e-03,4.723136e-01,1.154795e-02,5.027100e-01,2.187731e-02,5.387968e-01,4.092834e-02,5.836203e-01,7.526944e-02,6.416598e-01,1.354055e-01,7.195359e-01,2.370938e-01,8.270870e-01,4.023041e-01,9.789894e-01,6.595071e-01,1.197131e+00,1.043683e+00,1.513935e+00,1.597635e+00,1.976749e+00,2.376918e+00,2.653275e+00,3.459851e+00,3.638188e+00
10.349,2.366075e-04,3.460058e-01,4.522837e-04,3.681447e-01,8.681523e-04,3.904252e-01,1.670323e-03,4.132813e-01,3.214408e-03,4.373715e-01,6.171680e-03,4.636696e-01,1.178722e-02,4.936019e-01,2.231520e-02,5.292538e-01,4.170659e-02,5.736802e-01,7.660010e-02,6.313745e-01,1.375700e-01,7.089808e-01,2.404004e-01,8.163763e-01,4.069816e-01,9.682973e-01,6.655456e-01,1.186716e+00,1.050698e+00,1.504157e+00,1.604874e+00,1.968050e+00,2.383472e+00,2.646101e+00,3.464988e+00,3.632850e+00
10.446,2.414697e-04,3.401170e-01,4.617293e-04,3.617280e-01,8.864757e-04,3.834909e-01,1.705730e-03,4.058428e-01,3.282347e-03,4.294452e-01,6.300620e-03,4.552751e-01,1.202807e-02,4.847626e-01,2.275520e-02,5.199987e-01,4.248675e-02,5.640468e-01,7.792995e-02,6.214144e-01,1.397247e-01,6.987693e-01,2.436761e-01,8.060269e-01,4.115880e-01,9.579833e-01,6.714511e-01,1.176694e+00,1.057504e+00,1.494780e+00,1.611836e+00,1.959747e+00,2.389714e+00,2.639298e+00,3.469828e+00,3.627830e+00
10.544,2.463803e-04,3.343757e-01,4.712680e-04,3.554772e-01,9.049759e-04,3.767410e-01,1.741465e-03,3.986074e-01,3.350872e-03,4.217407e-01,6.430551e-03,4.471209e-01,1.227044e-02,4.761820e-01,2.319723e-02,5.110203e-01,4.326865e-02,5.547080e-01,7.925869e-02,6.117667e-01,1.418692e-01,6.888873e-01,2.469203e-01,7.960239e-01,4.161233e-01,9.480315e-01,6.772253e-01,1.167047e+00,1.064107e+00,1.485785e+00,1.618532e+00,1.951821e+00,2.395660e+00,2.632846e+00,3.474390e+00,3.623111e+00
10.641,2.513390e-04,3.287770e-01,4.808997e-04,3.493867e-01,9.236523e-04,3.701693e-01,1.777525e-03,3.915679e-01,3.419976e-03,4.142499e-01,6.561458e-03,4.391981e-01,1.251432e-02,4.678502e-01,2.364120e-02,5.023081e-01,4.405215e-02,5.456524e-01,8.058603e-02,6.024187e-01,1.440030e-01,6.793216e-01,2.501326e-01,7.863531e-01,4.205874e-01,9.384267e-01,6.828698e-01,1.157759e+00,1.070512e+00,1.477155e+00,1.624969e+00,1.944253e+00,2.401322e+00,2.626727e+00,3.478688e+00,3.618673e+00
10.739,2.563459e-04,3.233166e-01,4.906240e-04,3.434512e-01,9.425038e-04,3.637695e-01,1.813908e-03,3.847176e-01,3.489655e-03,4.069652e-01,6.693328e-03,4.314982e-01,1.275968e-02,4.597580e-01,2.408705e-02,4.938519e-01,4.483709e-02,5.368690e-01,8.191168e-02,5.933588e-01,1.461257e-01,6.700594e-01,2.533125e-01,7.770009e-01,4.249804e-01,9.291544e-01,6.883862e-01,1.148815e+00,1.076722e+00,1.468874e+00,1.631158e+00,1.937027e+00,2.406713e+00,2.620923e+00,3.482737e+00,3.614499e+00
10.836,2.614007e-04,3.179898e-01,5.004407e-04,3.376656e-01,9.615299e-04,3.575360e-01,1.850612e-03,3.780497e-01,3.559902e-03,3.998792e-01,6.826147e-03,4.240131e-01,1.300646e-02,4.518965e-01,2.453470e-02,4.856420e-01,4.562330e-02,5.283472e-01,8.323535e-02,5.845757e-01,1.482368e-01,6.610888e-01,2.564595e-01,7.679544e-01,4.293025e-01,9.202010e-01,6.937763e-01,1.140201e+00,1.082743e+00,1.460925e+00,1.637106e+00,1.930126e+00,2.411846e+00,2.615416e+00,3.486552e+00,3.610574e+00
10.934,2.665035e-04,3.127927e-01,5.103494e-04,3.320251e-01,9.807295e-04,3.514631e-01,1.887635e-03,3.715581e-01,3.630712e-03,3.929849e-01,6.959901e-03,4.167351e-01,1.325465e-02,4.442573e-01,2.498408e-02,4.776693e-01,4.641065e-02,5.200771e-01,8.455677e-02,5.760586e-01,1.503360e-01,6.523982e-01,2.595733e-01,7.592014e-01,4.335537e-01,9.115534e-01,6.990419e-01,1.131901e+00,1.088579e+00,1.453296e+00,1.642823e+00,1.923535e+00,2.416733e+00,2.610192e+00,3.490146e+00,3.606883e+00
11.031,2.716540e-04,3.077209e-01,5.203498e-04,3.265249e-01,1.000102e-03,3.455455e-01,1.924975e-03,3.652367e-01,3.702079e-03,3.862757e-01,7.094576e-03,4.096568e-01,1.350422e-02,4.368321e-01,2.543511e-02,4.699248e-01,4.719897e-02,5.120493e-01,8.587567e-02,5.677974e-01,1.524227e-01,6.439767e-01,2.626535e-01,7.507303e-01,4.377344e-01,9.031993e-01,7.041847e-01,1.123904e+00,1.094236e+00,1.445971e+00,1.648316e+00,1.917238e+00,2.421385e+00,2.605236e+00,3.493531e+00,3.603411e+00
11.129,2.768522e-04,3.027708e-01,5.304417e-04,3.211605e-01,1.019646e-03,3.397780e-01,1.962629e-03,3.590797e-01,3.773998e-03,3.797451e-01,7.230159e-03,4.027711e-01,1.375512e-02,4.296133e-01,2.588773e-02,4.624002e-01,4.798813e-02,5.042547e-01,8.719179e-02,5.597822e-01,1.544968e-01,6.358140e-01,2.656999e-01,7.425300e-01,4.418448e-01,8.951267e-01,7.092066e-01,1.116196e+00,1.099717e+00,1.438936e+00,1.653594e+00,1.911223e+00,2.425813e+00,2.600532e+00,3.496720e+00,3.600145e+00
11.226,2.820980e-04,2.979385e-01,5.406247e-04,3.159277e-01,1.039362e-03,3.341558e-01,2.000596e-03,3.530816e-01,3.846463e-03,3.733870e-01,7.366635e-03,3.960712e-01,1.400732e-02,4.225936e-01,2.634185e-02,4.550876e-01,4.877798e-02,4.966845e-01,8.850486e-02,5.520039e-01,1.565577e-01,6.279000e-01,2.687121e-01,7.345899e-01,4.458852e-01,8.873246e-01,7.141095e-01,1.108766e+00,1.105028e+00,1.432181e+00,1.658665e+00,1.905475e+00,2.430028e+00,2.596069e+00,3.499724e+00,3.597073e+00
11.324,2.873912e-04,2.932203e-01,5.508984e-04,3.108221e-01,1.059248e-03,3.286741e-01,2.038873e-03,3.472371e-01,3.919468e-03,3.671954e-01,7.503991e-03,3.895507e-01,1.426080e-02,4.157657e-01,2.679741e-02,4.479791e-01,4.956836e-02,4.893306e-01,8.981465e-02,5.444536e-01,1.586052e-01,6.202254e-01,2.716899e-01,7.269000e-01,4.498560e-01,8.797823e-01,7.188954e-01,1.101602e+00,1.110172e+00,1.425692e+00,1.663536e+00,1.899983e+00,2.434039e+00,2.591834e+00,3.502553e+00,3.594184e+00
11.421,2.927318e-04,2.886129e-01,5.612627e-04,3.058399e-01,1.079303e-03,3.233283e-01,2.077457e-03,3.415412e-01,3.993008e-03,3.611647e-01,7.642213e-03,3.832033e-01,1.451552e-02,4.091230e-01,2.725434e-02,4.410676e-01,5.035915e-02,4.821851e-01,9.112090e-02,5.371228e-01,1.606390e-01,6.127811e-01,2.746330e-01,7.194507e-01,4.537576e-01,8.724895e-01,7.235662e-01,1.094694e+00,1.115155e+00,1.419458e+00,1.668215e+00,1.894734e+00,2.437856e+00,2.587814e+00,3.505217e+00,3.591466e+00
11.519,2.981196e-04,2.841128e-01,5.717172e-04,3.009772e-01,1.099527e-03,3.181142e-01,2.116348e-03,3.359889e-01,4.067078e-03,3.552896e-01,7.781286e-03,3.770232e-01,1.477145e-02,4.026590e-01,2.771257e-02,4.343459e-01,5.115021e-02,4.752403e-01,9.242338e-02,5.300034e-01,1.626586e-01,6.055586e-01,2.775413e-01,7.122329e-01,4.575904e-01,8.654365e-01,7.281238e-01,1.088030e+00,1.119981e+00,1.413468e+00,1.672708e+00,1.889717e+00,2.441488e+00,2.583998e+00,3.507727e+00,3.588909e+00
11.616,3.035545e-04,2.797168e-01,5.822615e-04,2.962302e-01,1.119919e-03,3.130274e-01,2.155541e-03,3.305755e-01,4.141671e-03,3.495648e-01,7.921198e-03,3.710045e-01,1.502855e-02,3.963674e-01,2.817202e-02,4.278074e-01,5.194139e-02,4.684892e-01,9.372186e-02,5.230878e-01,1.646639e-01,5.985496e-01,2.804146e-01,7.052377e-01,4.613550e-01,8.586141e-01,7.325702e-01,1.081603e+00,1.124653e+00,1.407713e+00,1.677023e+00,1.884922e+00,2.444944e+00,2.580377e+00,3.510090e+00,3.586504e+00
11.714,3.090364e-04,2.754218e-01,5.928953e-04,2.915955e-01,1.140477e-03,3.080640e-01,2.195036e-03,3.252965e-01,4.216782e-03,3.439853e-01,8.061934e-03,3.651419e-01,1.528680e-02,3.902424e-01,2.863263e-02,4.214457e-01,5.273256e-02,4.619247e-01,9.501611e-02,5.163686e-01,1.666546e-01,5.917463e-01,2.832529e-01,6.984570e-01,4.650519e-01,8.520136e-01,7.369074e-01,1.075401e+00,1.129177e+00,1.402181e+00,1.681165e+00,1.880337e+00,2.448232e+00,2.576939e+00,3.512316e+00,3.584241e+00
11.811,3.145651e-04,2.712249e-01,6.036184e-04,2.870695e-01,1.161202e-03,3.032201e-01,2.234830e-03,3.201476e-01,4.292404e-03,3.385464e-01,8.203479e-03,3.594302e-01,1.554616e-02,3.842782e-01,2.909432e-02,4.152545e-01,5.352358e-02,4.555404e-01,9.630592e-02,5.098386e-01,1.686303e-01,5.851412e-01,2.860558e-01,6.918827e-01,4.686816e-01,8.456264e-01,7.411374e-01,1.069417e+00,1.133556e+00,1.396864e+00,1.685143e+00,1.875954e+00,2.451361e+00,2.573675e+00,3.514412e+00,3.582112e+00
11.909,3.201406e-04,2.671231e-01,6.144303e-04,2.826490e-01,1.182091e-03,2.984919e-01,2.274921e-03,3.151247e-01,4.368533e-03,3.332435e-01,8.345822e-03,3.538642e-01,1.580660e-02,3.784694e-01,2.955704e-02,4.092281e-01,5.431434e-02,4.493299e-01,9.759106e-02,5.034913e-01,1.705908e-01,5.787272e-01,2.888235e-01,6.855073e-01,4.722446e-01,8.394445e-01,7.452622e-01,1.063641e+00,1.137794e+00,1.391752e+00,1.688962e+00,1.871764e+00,2.454337e+00,2.570577e+00,3.516386e+00,3.580109e+00
12.006,3.257627e-04,2.631135e-01,6.253308e-04,2.783307e-01,1.203145e-03,2.938760e-01,2.315305e-03,3.102238e-01,4.445163e-03,3.280721e-01,8.488947e-03,3.484392e-01,1.606809e-02,3.728108e-01,3.002071e-02,4.033608e-01,5.510469e-02,4.432871e-01,9.887134e-02,4.973202e-01,1.725359e-01,5.724973e-01,2.915558e-01,6.793235e-01,4.757417e-01,8.334602e-01,7.492838e-01,1.058066e+00,1.141897e+00,1.386838e+00,1.692627e+00,1.867757e+00,2.457168e+00,2.567635e+00,3.518245e+00,3.578224e+00
12.104,3.314314e-04,2.591937e-01,6.363195e-04,2.741117e-01,1.224362e-03,2.893687e-01,2.355982e-03,3.054410e-01,4.522288e-03,3.230281e-01,8.632841e-03,3.431506e-01,1.633059e-02,3.672973e-01,3.048527e-02,3.976472e-01,5.589452e-02,4.374064e-01,1.001466e-01,4.913190e-01,1.744654e-01,5.664451e-01,2.942527e-01,6.733245e-01,4.791735e-01,8.276663e-01,7.532042e-01,1.052683e+00,1.145866e+00,1.382112e+00,1.696146e+00,1.863925e+00,2.459861e+00,2.564842e+00,3.519995e+00,3.576451e+00
12.201,3.371464e-04,2.553608e-01,6.473961e-04,2.699889e-01,1.245742e-03,2.849669e-01,2.396949e-03,3.007726e-01,4.599902e-03,3.181074e-01,8.777489e-03,3.379940e-01,1.659408e-02,3.619242e-01,3.095065e-02,3.920822e-01,5.668370e-02,4.316821e-01,1.014165e-01,4.854819e-01,1.763791e-01,5.605643e-01,2.969143e-01,6.675034e-01,4.825405e-01,8.220556e-01,7.570255e-01,1.047486e+00,1.149707e+00,1.377568e+00,1.699522e+00,1.860260e+00,2.462423e+00,2.562191e+00,3.521643e+00,3.574783e+00
