Ion Concentrations vs Distance Data
Surface potential: -200 mV
""
z (Å),[Cl-] at c=0.01 M (M),[Na+] at c=0.01 M (M),[Cl-] at c=0.014 M (M),[Na+] at c=0.014 M (M),[Cl-] at c=0.02 M (M),[Na+] at c=0.02 M (M),[Cl-] at c=0.028 M (M),[Na+] at c=0.028 M (M),[Cl-] at c=0.04 M (M),[Na+] at c=0.04 M (M),[Cl-] at c=0.056 M (M),[Na+] at c=0.056 M (M),[Cl-] at c=0.079 M (M),[Na+] at c=0.079 M (M),[Cl-] at c=0.11 M (M),[Na+] at c=0.11 M (M),[Cl-] at c=0.16 M (M),[Na+] at c=0.16 M (M),[Cl-] at c=0.22 M (M),[Na+] at c=0.22 M (M),[Cl-] at c=0.32 M (M),[Na+] at c=0.32 M (M),[Cl-] at c=0.45 M (M),[Na+] at c=0.45 M (M),[Cl-] at c=0.63 M (M),[Na+] at c=0.63 M (M),[Cl-] at c=0.89 M (M),[Na+] at c=0.89 M (M),[Cl-] at c=1.3 M (M),[Na+] at c=1.3 M (M),[Cl-] at c=1.8 M (M),[Na+] at c=1.8 M (M),[Cl-] at c=2.5 M (M),[Na+] at c=2.5 M (M),[Cl-] at c=3.5 M (M),[Na+] at c=3.5 M (M)
2.550,9.533805e-06,2.634733e+00,1.562537e-05,3.182877e+00,2.578029e-05,3.808395e+00,4.279367e-05,4.513640e+00,7.141801e-05,5.299216e+00,1.197395e-04,6.163739e+00,2.015127e-04,7.103672e+00,3.401068e-04,8.113260e+00,5.751522e-04,9.184597e+00,9.737135e-04,1.030787e+01,1.649080e-03,1.147179e+01,2.792536e-03,1.266436e+01,4.727749e-03,1.387397e+01,8.005836e-03,1.509099e+01,1.357672e-02,1.631025e+01,2.311047e-02,1.753464e+01,3.962951e-02,1.878111e+01,6.882279e-02,2.009097e+01
2.647,1.041776e-05,2.554656e+00,1.719039e-05,3.072124e+00,2.857161e-05,3.659415e+00,4.780537e-05,4.318272e+00,8.046852e-05,5.049029e+00,1.361627e-04,5.850492e+00,2.314265e-04,6.719892e+00,3.947340e-04,7.652919e+00,6.750451e-04,8.643863e+00,1.156399e-03,9.685906e+00,1.982809e-03,1.077161e+01,3.400869e-03,1.189366e+01,5.833327e-03,1.304604e+01,1.000816e-02,1.422569e+01,1.719059e-02,1.543507e+01,2.961364e-02,1.668605e+01,5.130887e-02,1.800600e+01,8.978284e-02,1.944800e+01
2.745,1.134670e-05,2.475423e+00,1.884435e-05,2.963873e+00,3.153880e-05,3.515320e+00,5.316513e-05,4.130995e+00,9.020891e-05,4.811007e+00,1.539555e-04,5.554313e+00,2.640635e-04,6.358751e+00,4.547811e-04,7.221154e+00,7.857281e-04,8.137550e+00,1.360552e-03,9.103504e+00,2.359176e-03,1.011464e+01,4.093646e-03,1.116745e+01,7.105473e-03,1.226043e+01,1.233740e-02,1.339588e+01,2.144232e-02,1.458250e+01,3.735334e-02,1.583931e+01,6.536914e-02,1.720173e+01,1.152959e-01,1.873125e+01
2.842,1.232112e-05,2.397460e+00,2.058840e-05,2.858522e+00,3.468452e-05,3.376415e+00,5.887909e-05,3.951946e+00,1.006532e-04,4.585040e+00,1.731497e-04,5.274771e+00,2.994948e-04,6.019463e+00,5.204067e-04,6.816854e+00,9.075535e-04,7.664344e+00,1.586953e-03,8.559382e+00,2.779909e-03,9.500019e+00,4.874686e-03,1.048574e+01,8.552620e-03,1.151868e+01,1.501211e-02,1.260541e+01,2.637254e-02,1.375958e+01,4.641793e-02,1.500582e+01,8.200066e-02,1.638561e+01,1.457675e-01,1.796644e+01
2.940,1.334148e-05,2.321089e+00,2.242360e-05,2.756349e+00,3.801123e-05,3.242873e+00,6.495292e-05,3.781120e+00,1.118143e-04,4.370867e+00,1.937740e-04,5.011285e+00,3.377844e-04,5.701089e+00,5.917520e-04,6.438731e+00,1.040832e-03,7.222696e+00,1.836282e-03,8.051908e+00,3.246490e-03,8.926322e+00,5.747216e-03,9.847779e+00,1.018177e-02,1.082125e+01,1.804744e-02,1.185664e+01,3.201389e-02,1.297143e+01,5.687715e-02,1.419451e+01,1.013508e-01,1.557184e+01,1.815046e-01,1.717503e+01
3.037,1.440818e-05,2.246551e+00,2.435094e-05,2.657536e+00,4.152120e-05,3.114762e+00,7.139176e-05,3.618406e+00,1.237036e-04,4.168127e+00,2.158543e-04,4.763181e+00,3.789894e-04,5.402594e+00,6.689416e-04,6.085392e+00,1.185833e-03,6.810910e+00,2.109120e-03,7.579227e+00,3.760163e-03,8.391774e+00,6.713879e-03,9.252213e+00,1.199851e-02,1.016769e+01,2.145510e-02,1.115067e+01,3.839064e-02,1.222149e+01,6.878060e-02,1.341216e+01,1.235186e-01,1.477179e+01,2.226986e-01,1.637467e+01
3.135,1.552164e-05,2.174020e+00,2.637132e-05,2.562190e+00,4.521651e-05,2.992073e+00,7.820034e-05,3.463616e+00,1.363319e-04,3.976389e+00,2.394139e-04,4.529722e+00,4.231604e-04,5.122898e+00,7.520851e-04,5.755398e+00,1.342789e-03,6.427226e+00,2.405957e-03,7.139357e+00,4.321943e-03,7.894360e+00,7.776755e-03,8.697285e+00,1.400703e-02,9.556924e+00,2.524338e-02,1.048761e+01,4.551865e-02,1.151178e+01,8.215723e-02,1.266361e+01,1.485528e-01,1.399430e+01,2.694172e-01,1.557966e+01
3.232,1.668220e-05,2.103615e+00,2.848558e-05,2.470361e+00,4.909908e-05,2.874736e+00,8.538297e-05,3.316507e+00,1.497087e-04,3.795177e+00,2.644736e-04,4.310146e+00,4.703424e-04,4.860906e+00,8.412770e-04,5.447303e+00,1.511898e-03,6.069867e+00,2.727193e-03,6.730266e+00,4.932632e-03,7.431937e+00,8.937396e-03,8.180969e+00,1.621022e-02,8.987365e+00,2.941726e-02,9.866808e+00,5.340564e-02,1.084318e+01,9.701584e-02,1.195209e+01,1.764520e-01,1.324594e+01,3.216043e-01,1.480123e+01
3.330,1.789021e-05,2.035412e+00,3.069450e-05,2.382051e+00,5.317065e-05,2.762639e+00,9.294357e-05,3.176800e+00,1.638425e-04,3.623992e+00,2.910520e-04,4.103678e+00,5.205746e-04,4.615529e+00,9.365989e-04,5.159682e+00,1.693325e-03,5.737081e+00,3.073151e-03,6.349926e+00,5.592832e-03,7.002308e+00,1.019685e-02,7.701085e+00,1.860970e-02,8.457123e+00,3.397870e-02,9.287043e+00,6.205169e-02,1.021566e+01,1.133462e-01,1.127944e+01,2.071675e-01,1.253136e+01,3.790873e-01,1.404793e+01
3.427,1.914598e-05,1.969453e+00,3.299879e-05,2.297229e+00,5.743284e-05,2.655637e+00,1.008857e-04,3.044190e+00,1.787411e-04,3.462322e+00,3.191656e-04,3.909555e+00,5.738912e-04,4.385709e+00,1.038120e-03,4.891158e+00,1.887202e-03,5.427170e+00,3.444078e-03,5.996355e+00,6.302959e-03,6.603288e+00,1.155573e-02,7.255381e+00,2.120600e-02,7.964102e+00,3.892679e-02,8.746684e+00,7.144984e-02,9.628502e+00,1.311206e-01,1.064642e+01,2.406080e-01,1.185353e+01,4.415899e-01,1.332594e+01
